community,range_0deg_m,range_45deg_m,range_90deg_m,range_135deg_m,longest_direction,max_over_min,materially_anisotropic,directions_unresolved_within_max_lag,en_note
aeolian,5766.101478976814,681.0390302747616,753.1870521137884,1766.5701041473717,0deg,8.46662411793126,True,,"a direction listed as unresolved has NO measured range: structure had not decayed within 20,000 m along it, and the fitted number is an extrapolation that must not be quoted"
riverine,4121.8770118077255,2866.248146890786,3063.6954060902985,3329.0621540827556,0deg,1.4380740258930496,False,,"a direction listed as unresolved has NO measured range: structure had not decayed within 20,000 m along it, and the fitted number is an extrapolation that must not be quoted"
inland,7342.616594443229,37671.723463106115,1657.6397086256845,2957.7929418357567,45deg,22.72612273166343,True,45deg,"a direction listed as unresolved has NO measured range: structure had not decayed within 20,000 m along it, and the fitted number is an extrapolation that must not be quoted"
