community,model,seed,rmse,rmse_pct_of_sill,pseudo_r2,empirical_peak_lag_m,empirical_peak_value,fall_from_peak_pct,turns_over,adequacy,note
aeolian,spherical,20260810,19.541317389044877,12.791241013459196,0.25568548432612725,7875.0,184.10349159333364,39.450211833915496,True,"MODEL IS A POOR SUMMARY OF THE SHAPE - the empirical variogram turns over rather than reaching a sill, so the field is not second-order stationary and the fitted range is a summary of something the data does not do",the ten-seed stability check measures SAMPLING stability and says nothing about whether the model form fits; both are reported
aeolian,exponential,20260810,19.52359632693875,12.767065806353804,0.2570348368589639,7875.0,184.10349159333364,39.450211833915496,True,"MODEL IS A POOR SUMMARY OF THE SHAPE - the empirical variogram turns over rather than reaching a sill, so the field is not second-order stationary and the fitted range is a summary of something the data does not do",the ten-seed stability check measures SAMPLING stability and says nothing about whether the model form fits; both are reported
riverine,spherical,20260810,15.65345593729623,10.851968789344186,0.5490715661537433,4875.0,172.72166963419934,22.46993002926998,True,"MODEL IS A POOR SUMMARY OF THE SHAPE - the empirical variogram turns over rather than reaching a sill, so the field is not second-order stationary and the fitted range is a summary of something the data does not do",the ten-seed stability check measures SAMPLING stability and says nothing about whether the model form fits; both are reported
riverine,exponential,20260810,15.856403391187065,11.003135374363278,0.5373031715432688,4875.0,172.72166963419934,22.46993002926998,True,"MODEL IS A POOR SUMMARY OF THE SHAPE - the empirical variogram turns over rather than reaching a sill, so the field is not second-order stationary and the fitted range is a summary of something the data does not do",the ten-seed stability check measures SAMPLING stability and says nothing about whether the model form fits; both are reported
inland,spherical,20260810,6.300085261781484,5.905440450287197,0.7842675719125559,17625.0,118.50517018747358,3.444698974660164,False,model describes the shape,the ten-seed stability check measures SAMPLING stability and says nothing about whether the model form fits; both are reported
inland,exponential,20260810,5.489927301853139,5.082336557388431,0.8361842084772212,17625.0,118.50517018747358,3.444698974660164,False,model describes the shape,the ten-seed stability check measures SAMPLING stability and says nothing about whether the model form fits; both are reported
