_blk,community_short,n_cells,y,x,cx,cy,rung,block_m
7000007,riverine,1533,39.48079,18.90411,9006227.262213333,4346734.381798979,1000 m,1000.0
7000008,riverine,1180,43.589832,23.641645,9006201.601326803,4347651.43408552,1000 m,1000.0
7000009,inland,668,49.002926,36.090675,9006490.260843433,4348648.280991428,1000 m,1000.0
7000009,riverine,547,43.80126,13.705928,9006050.426830558,4348715.46213497,1000 m,1000.0
7000014,inland,670,72.96962,33.650322,9006330.387079008,4353589.746613607,1000 m,1000.0
7000019,riverine,693,48.032257,3.838384,9006504.728392018,4358711.589086897,1000 m,1000.0
8000001,aeolian,739,33.41027,4.4732265,9007437.170946516,4340873.310760726,1000 m,1000.0
8000001,inland,567,44.059925,4.459562,9006979.615887484,4340758.967286696,1000 m,1000.0
8000002,aeolian,791,32.42127,6.9243274,9007207.273988212,4341705.703319754,1000 m,1000.0
8000003,aeolian,1070,41.6712,1.623498,9007134.133646043,4342817.671569371,1000 m,1000.0
8000003,inland,521,46.155144,5.7252536,9007420.166773744,4342544.135579962,1000 m,1000.0
8000004,aeolian,1483,48.531033,0.8611887,9007228.941071039,4343720.919041766,1000 m,1000.0
8000005,aeolian,1060,36.209873,7.9649596,9007328.535394307,4344652.141963291,1000 m,1000.0
8000005,riverine,540,37.793453,24.5291,9007037.756536188,4344875.426064857,1000 m,1000.0
8000006,riverine,1256,38.690086,21.82666,9007197.037569735,4345799.651289473,1000 m,1000.0
8000007,riverine,1441,43.80296,32.217705,9007249.43281033,4346700.81866422,1000 m,1000.0
8000008,inland,804,50.367405,40.2914,9007103.589564208,4347756.698220064,1000 m,1000.0
8000008,riverine,771,46.766865,37.320732,9007358.01794611,4347680.550310569,1000 m,1000.0
8000009,riverine,626,40.17605,26.02921,9007293.70074905,4348643.843563036,1000 m,1000.0
8000010,aeolian,576,50.960896,4.3055553,9007515.518107198,4349679.286567055,1000 m,1000.0
8000014,inland,1559,65.520454,36.111057,9007230.805959348,4353717.717796792,1000 m,1000.0
8000015,inland,994,62.349308,30.405289,9007329.374245914,4354796.848842485,1000 m,1000.0
9000001,inland,997,38.588703,7.4767156,9008346.658672797,4340697.456878241,1000 m,1000.0
9000002,aeolian,684,41.451805,12.873851,9008106.291740436,4341602.383692259,1000 m,1000.0
9000003,inland,1000,44.690407,8.048572,9008096.865829328,4342754.424680928,1000 m,1000.0
9000004,inland,730,48.25221,12.872798,9008476.995402338,4343647.5191536,1000 m,1000.0
9000004,riverine,654,43.41349,8.820445,9008093.399009246,4343792.986158588,1000 m,1000.0
9000005,aeolian,643,41.643593,10.20662,9008010.747530233,4344751.907522435,1000 m,1000.0
9000005,riverine,784,35.756718,7.281341,9008373.105789058,4344771.262016235,1000 m,1000.0
9000006,aeolian,1041,35.5657,4.2514067,9008257.620624805,4345738.916135658,1000 m,1000.0
9000006,riverine,522,28.98246,15.440613,9008145.878351541,4345698.805504202,1000 m,1000.0
9000007,aeolian,815,46.748096,1.1849256,9008458.490459044,4346739.292031768,1000 m,1000.0
9000007,riverine,736,43.147278,28.815992,9007964.306276157,4346731.160792689,1000 m,1000.0
9000008,aeolian,1145,45.94908,0.5140362,9008356.055030372,4347764.222961963,1000 m,1000.0
9000009,aeolian,1599,51.28817,1.5599035,9008229.512765199,4348723.047743206,1000 m,1000.0
9000010,aeolian,1067,50.03622,7.296827,9008241.8103953,4349568.725142555,1000 m,1000.0
9000014,inland,1575,62.974716,36.736507,9008235.478561478,4353709.448434805,1000 m,1000.0
9000015,inland,989,64.81151,34.1586,9008176.47781018,4354637.452376518,1000 m,1000.0
9000019,inland,595,57.35954,20.533012,9008264.901044585,4358765.428299664,1000 m,1000.0
10000001,inland,1127,46.090397,10.333375,9009212.587033965,4340868.153775102,1000 m,1000.0
10000002,inland,1218,48.13139,10.694346,9009295.057374017,4341660.68811351,1000 m,1000.0
10000003,inland,552,43.35896,10.238095,9009489.618715884,4342613.3509901455,1000 m,1000.0
10000004,inland,652,39.075775,12.204207,9008968.66520459,4343722.370464612,1000 m,1000.0
10000004,riverine,670,35.587883,3.8294244,9009428.41468775,4343779.450082776,1000 m,1000.0
10000005,riverine,1021,43.092033,10.225269,9009218.224070333,4344759.917673951,1000 m,1000.0
10000006,riverine,1517,37.917973,14.877107,9009238.644090407,4345722.566350427,1000 m,1000.0
