spec_id,path,date_issued,line_count,section_count,gate_count,names_stop,stop_mentions,names_ruling_set,ruling_count,cited_files,cited_files_absent,absent_examples,sections_present,section_hits
T12_closeout,docs/change_reports/T12_closeout.md,2026-07-28,65,8,3,1,1,0,0,3,0,,,0
T12_dea_landcover_l3_extraction,docs/reference_update/T12_dea_landcover_l3_extraction.md,2026-07-28,637,10,7,1,4,0,0,11,1,Output/census/gayini_pixel_dea_landcover_l3.parquet,acceptance_criteria|spine_anchor,2
T12_gate0_recon,docs/change_reports/T12_gate0_recon.md,2026-07-28,162,10,4,1,3,0,0,10,0,,acceptance_criteria,1
T12_gateA,docs/change_reports/T12_gateA.md,2026-07-28,106,7,4,1,2,0,0,3,0,,,0
T12_gateB,docs/change_reports/T12_gateB.md,2026-07-28,65,5,3,1,4,0,0,3,0,,,0
T12_gateC,docs/change_reports/T12_gateC.md,2026-07-28,78,8,2,1,2,0,0,6,0,,,0
T12_gateD,docs/change_reports/T12_gateD.md,2026-07-28,95,5,2,1,1,0,0,1,0,,,0
T12_supply_and_gateA0,docs/change_reports/T12_supply_and_gateA0.md,2026-07-28,72,6,4,1,3,0,0,10,0,,,0
T12_v4_caveat_correction,docs/change_reports/T12_v4_caveat_correction.md,2026-07-28,23,2,3,0,0,0,0,1,0,,,0
T13_gateA_part_flood,docs/change_reports/T13_gateA_part_flood.md,2026-07-29,42,5,2,1,2,0,0,3,0,,,0
T13_gateB_measures,docs/change_reports/T13_gateB_measures.md,2026-07-29,84,7,5,1,1,0,0,6,0,,,0
T13_gateC_classification,docs/change_reports/T13_gateC_classification.md,2026-07-30,313,8,4,1,2,0,0,15,3,_bala29ca_raw_vs_adjusted.csv; _robustness.csv; _sweep.csv,,0
T13_gateD_map,docs/change_reports/T13_gateD_map.md,2026-07-30,337,10,3,1,1,0,0,9,0,,,0
T13_gateE_register_and_bundle,docs/change_reports/T13_gateE_register_and_bundle.md,2026-07-31,225,8,5,1,1,0,0,8,0,,,0
T13_spec,docs/reference_update/Gayini_T13_spec.md,2026-07-29,161,9,5,1,3,0,0,5,0,,what_this_is_not,1
T1_gate0_inventory,docs/change_reports/T1_gate0_inventory.md,2026-07-25,76,4,6,1,2,0,0,13,2,Gayini_Results_DB_contract_snapshot_20260725.xlsx; Results.gpkg,,0
T1_gateA_recon,docs/change_reports/T1_gateA_recon.md,2026-07-25,72,3,5,1,3,0,0,5,0,,acceptance_criteria,1
T1_gateB1,docs/change_reports/T1_gateB1.md,2026-07-26,65,6,3,1,2,0,0,10,0,,,0
T1_gateB_dim_management_zone,docs/change_reports/T1_gateB_dim_management_zone.md,2026-07-25,70,4,4,1,2,0,0,6,0,,,0
T1_gateC,docs/change_reports/T1_gateC.md,2026-07-26,53,7,2,1,2,0,0,10,1,docs/Gayini_Results_DB_contract_snapshot_20260726.xlsx,,0
T1_gateD,docs/change_reports/T1_gateD.md,2026-07-27,65,9,2,1,2,0,0,5,0,,,0
T1_zone_stratum_census_join,docs/T1_zone_stratum_census_join.md,2026-07-25,297,8,7,1,10,0,0,11,1,docs/change_reports/T1_change_report.md,acceptance_criteria|spine_anchor,2
T2_zone_annual_veg,docs/change_reports/T2_zone_annual_veg.md,2026-07-27,177,10,6,0,0,0,0,18,0,,acceptance_criteria,1
T2_zone_annual_veg_extraction,docs/T2_zone_annual_veg_extraction.md,2026-07-27,209,8,7,1,5,0,0,6,0,,acceptance_criteria|spine_anchor,2
T3_always_green_threshold,docs/T3_always_green_threshold.md,2026-07-27,260,7,9,1,8,0,0,4,0,,acceptance_criteria|spine_anchor,2
T3_gateA1_A2_B_20260803,docs/change_reports/T3_gateA1_A2_B_20260803.md,2026-07-27,193,7,8,1,2,0,0,8,0,,,0
T3_gateA_recon_20260803,docs/change_reports/T3_gateA_recon_20260803.md,2026-07-27,128,9,5,1,2,0,0,5,0,,,0
T3_gateCDE_20260803,docs/change_reports/T3_gateCDE_20260803.md,2026-08-03,189,9,7,0,0,0,0,10,1,..._gateCDE_vectors_and_figures.R,acceptance_criteria,1
T4_spine_evidence_workbook,docs/T4_spine_evidence_workbook.md,2026-07-25,119,5,4,1,4,0,0,3,2,Gayini_all_pixel_census_summary.xlsx; Gayini_spine_evidence_workbook.xlsx,acceptance_criteria|spine_anchor,2
T5_change_report,docs/change_reports/T5_change_report.md,2026-07-26,55,6,4,1,2,0,0,15,2,docs/Gayini_Results_DB_contract_snapshot_20260726.xlsx; register_taskM_gateC/D_assets.py,,0
