unit,slug,n_parts,n_sites,area_ha,communities,sites,map,sites_drawn,sites_expected,gap_source,docx,pages
Dinan 14,Dinan_14,2,0,481.41537900000003,multi,none,locator,False,0,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Dinan_14.docx,5
Dinan 2,Dinan_2,2,0,865.6248800000001,multi,none,locator,False,0,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Dinan_2.docx,5
Dinan 3,Dinan_3,3,1,597.950199,multi,some,c1,True,1,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Dinan_3.docx,5
Dinan 4,Dinan_4,3,0,678.321189,multi,none,locator,False,0,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Dinan_4.docx,5
Dinan 5,Dinan_5,2,0,441.32340999999997,multi,none,locator,False,0,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Dinan_5.docx,5
Dinan 6,Dinan_6,2,0,425.67320200000006,multi,none,c1,True,0,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Dinan_6.docx,5
Dinan 7,Dinan_7,2,0,708.312227,multi,none,locator,False,0,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Dinan_7.docx,5
Dinan 8,Dinan_8,3,4,2671.322248,multi,some,c1,True,4,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Dinan_8.docx,5
Dinan 9,Dinan_9,3,0,1702.568106,multi,none,locator,False,0,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Dinan_9.docx,5
Mara 1,Mara_1,2,0,52.998713,multi,none,locator,False,0,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Mara_1.docx,5
Mara 10,Mara_10,1,0,248.906902,single,none,locator,False,0,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Mara_10.docx,4
Mara 11,Mara_11,2,0,947.367604,multi,none,locator,False,0,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Mara_11.docx,5
Mara 12,Mara_12,2,0,258.945481,multi,none,locator,False,0,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Mara_12.docx,5
Mara 13,Mara_13,3,0,114.414871,multi,none,c1,True,0,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Mara_13.docx,5
Mara 14,Mara_14,1,0,1002.299212,single,none,locator,False,0,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Mara_14.docx,4
Mara 15,Mara_15,1,0,1034.659603,single,none,locator,False,0,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Mara_15.docx,4
Mara 16,Mara_16,1,0,681.251706,single,none,locator,False,0,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Mara_16.docx,4
Mara 17,Mara_17,1,0,285.943651,single,none,locator,False,0,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Mara_17.docx,4
Mara 18,Mara_18,1,0,223.21811399999999,single,none,locator,False,0,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Mara_18.docx,4
Mara 19,Mara_19,1,0,299.349208,single,none,locator,False,0,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Mara_19.docx,4
Mara 2,Mara_2,2,0,123.767586,multi,none,locator,False,0,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Mara_2.docx,5
Mara 20,Mara_20,1,0,149.456374,single,none,locator,False,0,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Mara_20.docx,4
Mara 21,Mara_21,2,1,850.473483,multi,some,c1,True,1,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Mara_21.docx,5
Mara 22,Mara_22,1,0,398.737384,single,none,locator,False,0,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Mara_22.docx,4
Mara 22a,Mara_22a,1,0,99.450529,single,none,locator,False,0,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Mara_22a.docx,4
Mara 3,Mara_3,1,0,330.15081299999997,single,none,locator,False,0,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Mara_3.docx,4
Mara 4,Mara_4,3,0,59.233858,multi,none,locator,False,0,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Mara_4.docx,5
Mara 5,Mara_5,1,0,316.43349900000004,single,none,locator,False,0,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Mara_5.docx,4
Mara 5a,Mara_5a,1,0,114.85133099999999,single,none,locator,False,0,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Mara_5a.docx,4
Mara 6,Mara_6,1,0,643.092632,single,none,locator,False,0,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Mara_6.docx,4
Mara 7,Mara_7,3,2,927.539849,multi,some,c1,True,2,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Mara_7.docx,5
Mara 8,Mara_8,3,1,235.937805,multi,some,c1,True,1,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Mara_8.docx,5
Mara 9,Mara_9,1,0,308.764273,single,none,locator,False,0,"derived: paddock floor minus grazed baseline, this module",D:\Github_repos\Gayini\Output\reports\Gayini_paddock_report_Mara_9.docx,4
