draw_id,n_points,tau,p_value,n_zero_years,significant_p05
837,40,0.31327,0.023109,28,True
838,40,0.29763,0.029538,27,True
839,40,0.27247,0.047317,28,True
840,40,0.12482,0.361405,26,False
841,40,0.13415,0.335594,30,False
842,40,0.2093,0.128014,29,False
843,40,0.4028,0.003553,29,True
844,40,0.39794,0.003907,28,True
845,40,0.35651,0.009857,30,True
846,40,0.11256,0.413745,27,False
847,40,0.31478,0.0224,29,True
848,40,0.14382,0.301162,31,False
849,40,0.28256,0.040846,29,True
850,40,0.19487,0.157479,29,False
851,40,0.26453,0.05555,29,False
852,40,0.36427,0.007732,26,True
853,40,0.29119,0.036598,30,True
854,40,0.25,0.068779,28,False
855,40,0.28936,0.036737,30,True
856,40,0.43181,0.001741,28,True
857,40,0.28285,0.041177,30,True
858,40,0.2392,0.081964,29,False
859,40,0.32508,0.017718,28,True
860,40,0.26909,0.050367,29,False
861,40,0.1654,0.234425,31,False
862,40,0.29586,0.032711,30,True
863,40,0.28936,0.036737,30,True
864,40,0.30236,0.029069,30,True
865,40,0.28936,0.036737,30,True
866,40,0.23485,0.093599,32,False
867,40,0.17231,0.213566,30,False
868,40,0.35009,0.011972,30,True
869,40,0.12625,0.360841,29,False
870,40,0.40359,0.003428,28,True
871,40,0.29586,0.032711,30,True
872,40,0.27247,0.047317,28,True
873,40,0.21643,0.117243,29,False
874,40,0.19734,0.151285,29,False
875,40,0.34085,0.013188,29,True
876,40,0.21643,0.117243,29,False
877,40,0.42218,0.002029,28,True
878,40,0.37203,0.006523,27,True
879,40,0.24649,0.074421,29,False
880,40,0.28521,0.038957,30,True
881,40,0.20576,0.133645,29,False
882,40,0.09746,0.485086,31,False
883,40,0.23485,0.093599,32,False
884,40,0.34085,0.013188,29,True
885,40,0.19304,0.165854,30,False
886,40,0.36673,0.007948,29,True
887,40,0.22244,0.107406,29,False
888,40,0.23425,0.089394,28,False
889,40,0.28465,0.041028,30,True
890,40,0.36874,0.007474,29,True
891,40,0.35281,0.010299,29,True
892,40,0.23485,0.093599,32,False
893,40,0.1463,0.290934,30,False
894,40,0.40855,0.002735,26,True
895,40,0.33021,0.016647,28,True
896,40,0.36088,0.009188,30,True
897,40,0.26124,0.057216,28,False
898,40,0.24184,0.083196,31,False
899,40,0.23684,0.085784,29,False
900,40,0.30236,0.029069,30,True
901,40,0.34788,0.012035,30,True
902,40,0.36992,0.006964,28,True
903,40,0.35651,0.009857,30,True
904,40,0.11007,0.424791,28,False
905,40,0.28046,0.04378,31,True
906,40,0.29586,0.032711,30,True
907,40,0.26082,0.058484,29,False
908,40,0.25017,0.070887,29,False
909,40,0.25222,0.065778,28,False
910,40,0.30198,0.028541,28,True
911,40,0.29357,0.031886,28,True
912,40,0.20862,0.126584,25,False
913,40,0.27606,0.048738,32,True
914,40,0.29145,0.033491,28,True
915,40,0.28765,0.03865,31,True
916,40,0.26685,0.05207,28,False
917,40,0.28046,0.04378,31,True
918,40,0.30684,0.024605,28,True
919,40,0.09568,0.486578,29,False
920,40,0.33069,0.015865,28,True
921,40,0.29586,0.032711,30,True
922,40,0.30661,0.026477,29,True
923,40,0.27152,0.046461,26,True
924,40,0.28765,0.03865,31,True
925,40,0.36072,0.009034,29,True
926,40,0.36874,0.007474,29,True
927,40,0.30236,0.029069,30,True
928,40,0.27639,0.046762,28,True
929,40,0.28936,0.036737,30,True
930,40,0.18532,0.180996,30,False
931,40,0.02019,0.881728,26,False
932,40,0.29119,0.036598,30,True
933,40,0.20332,0.139276,29,False
934,40,0.26335,0.057311,30,False
935,40,0.35003,0.011281,30,True
936,40,0.0897,0.514223,29,False
937,40,0.2179,0.111091,27,False
938,40,0.34788,0.012035,30,True
939,40,0.31387,0.022039,28,True
940,40,0.34518,0.013084,31,True
941,40,0.28703,0.036862,29,True
942,40,0.28515,0.04108,31,True
943,40,0.28285,0.041177,30,True
944,40,0.24539,0.078168,30,False
945,40,0.29396,0.034613,29,True
946,40,0.29817,0.03089,30,True
947,40,0.01404,0.918566,28,False
948,40,0.36072,0.009034,29,True
