"row_type","period","period_label","scope","form","n","n_clusters","x_min","x_max","cv_rmse_weighted_leave_one_paddock_out","r2_in_sample","delta_r2_vs_linear","resid_sd","term_1","term_2","term_3","term_4","part_id","community_of_part","residual","support_level","unit","weighting","estimand","cluster","source_sha256_first50","interval_status"
"form_summary","whole_record","1988-2022","riverine","log_x1",37,37,3.0222,33.2615057142857,12.984924475027,0.0113106966917181,-0.0548966479081492,9.88579300335805,49.8343628340214,1.84458826943879,,,,,,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"form_summary","whole_record","1988-2022","riverine","cubic",37,37,3.0222,33.2615057142857,11.7963375285722,0.293411644927218,0.227204300327351,8.35727768781137,76.4368852072327,-6.25603158994636,0.404487411116919,-0.0068455731036901,,,,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"form_summary","whole_record","1988-2022","inland","linear",61,61,5.9298,58.8975085714286,4.61669290246569,0.385901573062982,0,4.39060685541785,62.7902303763017,0.285175839037979,,,,,,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"form_summary","whole_record","1988-2022","inland","quadratic",61,61,5.9298,58.8975085714286,4.70790879004833,0.391713319772771,0.00581174670978946,4.36978140316824,60.7838071065657,0.451157080844534,-0.00283360356167605,,,,,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"form_summary","whole_record","1988-2022","inland","sqrt_x",61,61,5.9298,58.8975085714286,4.58319749913371,0.392490454355856,0.00658888129287427,4.36698913951327,55.6617337203627,2.93458976293091,,,,,,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"form_summary","whole_record","1988-2022","inland","log_x1",61,61,5.9298,58.8975085714286,4.58595367837726,0.389238624455796,0.00333705139281448,4.3786611811624,46.6666768193994,7.39801713913801,,,,,,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"form_summary","whole_record","1988-2022","inland","cubic",61,61,5.9298,58.8975085714286,4.94461965426118,0.39295969435916,0.00705812129617844,4.36530228384204,58.9224763136334,0.695845042123415,-0.011768270713862,9.69080108150279e-05,,,,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"form_summary","cropping_era","1988-2013","pooled","linear",115,64,0.11655,53.3137076923077,9.21241234690128,0.467552722323283,0,8.69280961774986,52.3320616676638,0.592241397897206,,,,,,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"form_summary","cropping_era","1988-2013","pooled","quadratic",115,64,0.11655,53.3137076923077,9.20933759855713,0.487533144293728,0.0199804219704441,8.52814849549738,48.7530257227516,1.05784773712274,-0.00993012556083708,,,,,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"form_summary","cropping_era","1988-2013","pooled","sqrt_x",115,64,0.11655,53.3137076923077,9.14779478391384,0.477378256892149,0.00982553456886581,8.61222960617505,43.1672875050959,5.05367647736037,,,,,,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
