file,name,kind,bytes,rows,carries_section7_columns,note,sha256_first50
Output/diag/figures/DIAG1_E2_within_patches.png,DIAG1_E2_within_patches.png,png,318980,,,,b026aa8bad9fdd5968a08df6829884d5188fc720ffe4618cc47fa0bc33ce19a1
Output/diag/figures/DIAG1_E3_within_findings.png,DIAG1_E3_within_findings.png,png,256365,,,,dc2472a1cc2a7b40b92cb4d68a879905875e9ffd08a6625f97b35c08d8f74100
Output/diag/figures/SPAT1_F1_correlogram_and_moran.png,SPAT1_F1_correlogram_and_moran.png,png,329720,,,,246d14ed1b16aefa66417345c98c3101c40b026f54eca3150daf78ec54ed61cd
Output/diag/figures/SPAT1_F2_residual_map_with_links.png,SPAT1_F2_residual_map_with_links.png,png,362137,,,,df23f6f665405b5f7e5be4a37f7ad9951795675e9dab165c2a1dcaa5a70de9a9
Output/diag/SPAT1_checks.csv,SPAT1_checks.csv,csv,586,3.0,exempt,check ledger; each row names its own target and section,569fa80f318a3e2e500dc402e16af89573d3410d18db9bded0dfe1f78926840b
Output/diag/SPAT1_correlogram.csv,SPAT1_correlogram.csv,csv,9686,18.0,yes,,8f22b48fbc67151d08d7a3b2f91aa816efa14cd09cc84fd1cbb75efac8abea84
Output/diag/SPAT1_findings.md,SPAT1_findings.md,md,11438,,,,05a7dd5e2fabd4e717acc696a91e4b8eaa44d606b5b9c5395c10976e43e38250
Output/diag/SPAT1_inputs.csv,SPAT1_inputs.csv,csv,773,4.0,exempt,"provenance ledger of file checksums; describes files, not estimates",156f900a6b3960952460576dd9d4845c4dc43d3a49c4488595a2afc10b857685
Output/diag/SPAT1_morans_i.csv,SPAT1_morans_i.csv,csv,22503,24.0,yes,,d975f6a5dde51fd48eb59e0379025fa46d5c4eba67783fec155695ab3420a835
Output/diag/SPAT1_scale_reference.csv,SPAT1_scale_reference.csv,csv,3162,6.0,yes,,fe3d99786f25f0a39fe977e9de747e4c23d9d3012898566ae9c5bcd985a594ee
