"part_id","zone_fid","paddock_name","community_short","conserved","n_pixels_part","period","period_label","x_inund_mean","y_floor_mean","fitted","residual","published_residual","hat_leverage","std_residual","sqrt_abs_std_residual","residual_obs_deleted","residual_cluster_deleted","water_quartile","local_residual_sd","residual_z_local","support_level","unit","weighting","estimand","cluster","source_sha256_first50","interval_status"
"06_inland",6,"Bala 2","inland",0,26087,"whole_record","1988-2022",11.3494885714286,69.5305507278442,58.9084731159437,10.6220776119005,10.6220776119005,0.0649614993063332,2.61545420780084,1.61723659611105,11.3600430399609,11.4297876204403,2,8.48562122135004,1.25177371636329,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"06_riverine",6,"Bala 2","riverine",0,1956,"whole_record","1988-2022",3.0222,63.6149391310556,54.3511668111256,9.26377231992995,9.26377231992993,0.00864395810495501,0.606593562454547,0.778841166384101,9.34454618566869,10.3165526467418,1,12.8110143844197,0.723109977239289,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"07_inland",7,"Bala 3","inland",0,20725,"whole_record","1988-2022",11.5934542857143,63.8278942653111,59.0419891432,4.78590512211112,4.7859051221111,0.0507165322795676,1.04244637532578,1.02100263237946,5.04159746256171,5.04159746256173,2,8.48562122135004,0.564001738619874,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"08_inland",8,"Bala 4","inland",0,5578,"whole_record","1988-2022",26.64498,76.4973147256034,67.2792938128373,9.21802091276606,9.21802091276608,0.0070864450775825,1.01850121693852,1.00920821287707,9.28381012331564,9.28381012331565,3,6.33433521519219,1.45524677801353,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"09_inland",9,"Bala 5","inland",0,22252,"whole_record","1988-2022",17.17008,67.2968642915998,62.0939299171181,5.20293437448174,5.20293437448173,0.0371916246430401,1.16601267659602,1.07982066872052,5.40391474321435,5.44654087974958,2,8.48562122135004,0.613147138996851,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"09_riverine",9,"Bala 5","riverine",0,2132,"whole_record","1988-2022",5.82149428571429,64.0709571429661,55.883147045496,8.18781009747014,8.18781009747012,0.00782708081658747,0.559510195896624,0.748004141630662,8.25240231733895,8.52812809220728,1,12.8110143844197,0.63912269955983,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"10_inland",10,"Bala 6","inland",0,18947,"whole_record","1988-2022",15.8261085714286,73.5743519319807,61.3584096559446,12.2159422760361,12.2159422760361,0.0345168224223892,2.5226974714209,1.58830018303245,12.6526723196625,13.1144619829592,2,8.48562122135004,1.43960494551659,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"10_riverine",10,"Bala 6","riverine",0,13478,"whole_record","1988-2022",3.12106571428571,65.7905723135812,54.4052734196789,11.3852988939023,11.3852988939023,0.0591828156918228,2.0088377907118,1.41733474899609,12.1014997215154,12.7848651547105,1,12.8110143844197,0.888711740714979,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"11_inland",11,"Bala 9","inland",0,4101,"whole_record","1988-2022",23.3859371428571,64.9800057547433,65.4957052613982,-0.515699506654926,-0.515699506654911,0.0052413966960951,-0.0488116037058183,0.220933482536754,-0.518416734413883,-0.518416734413876,3,6.33433521519219,-0.0814133589611864,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"12_inland",12,"Bala 12","inland",0,15076,"whole_record","1988-2022",40.34606,70.9974444253104,74.7775350147878,-3.7800905894774,-3.78009058947738,0.0411952757568322,-0.698747903028602,0.835911420563568,-3.94250309150407,-3.94348079226633,4,3.83288579700831,-0.986225729038908,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
"12_riverine",12,"Bala 12","riverine",0,495,"whole_record","1988-2022",17.0505028571429,57.9721449443272,62.0284884877284,-4.05634354340113,-4.05634354340114,0.000833491460845587,-0.133094075181254,0.364820606848427,-4.0597272914319,-4.08729640340133,2,8.48562122135004,-0.478025525484837,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration"
