community,community_short,n_parts,n_cells_min,n_cells_max,total_cells,total_area_ha,water_min_pct,water_max_pct,water_span_pct,water_span_p10_p90_pct,water_iqr_pct,y_min,y_max,n_paddocks,r_across_areas,within_area_sd_min,within_area_sd_max,within_area_sd_median,smoother_min_parts,smoother_min_span_p10_p90_pct,smoother_span_rule,passes_superseded_minmax_rule,smoother_drawn,smoother_reason,ruling,r_printed_on_figure,r_suppression_note,support_level,period_label
Inland Floodplain Shrublands / Swamps,inland,61,588,32399,588269,36679.412432958634,5.929804801940918,58.89751052856445,52.96770477294922,29.05271625518799,16.0789794921875,40.82032775878906,80.31995391845703,61,0.7009660656169336,3.396580696105957,23.23021697998047,8.740559577941895,12,10.0,"central 10th-90th percentile of the water axis, not min-to-max: a single outlying part must not be able to buy a community a fitted line",True,True,enough parts and enough water-axis range,EH (9 Aug 2026),True,,pixel,1988-2022 (35 water years)
Riverine Chenopod Shrublands,riverine,27,623,22565,140532,8762.370935793902,3.022202730178833,33.261505126953125,30.239301681518555,22.941924762725833,11.556341886520386,26.855741500854492,67.47843933105469,27,0.7076550033648655,4.35304594039917,19.575735092163086,10.385643005371094,12,10.0,"central 10th-90th percentile of the water axis, not min-to-max: a single outlying part must not be able to buy a community a fitted line",True,True,enough parts and enough water-axis range,EH (9 Aug 2026),True,,pixel,1988-2022 (35 water years)
Aeolian Chenopod Shrublands,aeolian,12,615,16554,64061,3994.2948546800244,0.9976949691772461,11.866866111755371,10.869171142578125,4.390986108779908,2.3334915041923523,35.78347396850586,57.696800231933594,12,-0.16087890507016558,5.334286689758301,15.07651424407959,9.636492729187012,12,10.0,"central 10th-90th percentile of the water axis, not min-to-max: a single outlying part must not be able to buy a community a fitted line",True,False,too narrow a range of wetness to support a fitted line; points drawn without one rather than extrapolating a curve across a gap,EH (9 Aug 2026),False,"r retained here and in the run record but NOT printed on the figure: across this community's narrow water range it is noise, and beside two positive values it would be read as a negative response to water",pixel,1988-2022 (35 water years)
