zone_fid,zone_name,treat,year,n,ctv,wat,ns
1,Bala 26ca,No grazing,2013,22947,12.698827733472784,2.806467076306271,0.24839848346189042
2,Bala 27ca,No grazing,2013,16608,41.01637764932563,0.0,0.0180635838150289
3,Bala 28ca,No grazing,2013,17431,3.0807182605702486,4.8878434972176015,0.2811083701451437
4,Bala 29ca,No grazing,2013,26953,16.246799985159353,7.316439728416131,7.019626757689311
5,Bala 1,14-day grazing,2013,10166,18.925831202046037,0.0,0.03934684241589612
6,Bala 2,14-day grazing,2013,19760,35.26315789473684,0.0,0.18724696356275303
7,Bala 3,14-day grazing,2013,14748,37.320314618931384,0.0,1.0509899647409817
8,Bala 4,14-day grazing,2013,3878,18.385765858690046,0.0,0.12893243940175347
9,Bala 5,14-day grazing,2013,16940,27.29043683589138,0.01770956316410862,0.4427390791027155
10,Bala 6,14-day grazing,2013,22526,36.269200035514515,0.03995383112847376,0.04439314569830418
11,Bala 9,14-day grazing,2013,2843,49.91206472036581,0.0,0.6683081252198383
12,Bala 12,14-day grazing,2013,13916,1.3365909744179363,0.24432308134521413,0.07185972980741592
13,Bala 13,14-day grazing,2013,8869,13.879806066072838,0.0,1.4094035404216936
14,Bala 15,14-day grazing,2013,5898,2.458460495083079,0.6273312987453374,4.730417090539166
15,Bala 17,14-day grazing,2013,8315,40.37282020444979,0.0,0.0
16,Bala 18,14-day grazing,2013,8406,17.02355460385439,0.17844396859386152,0.0
17,Bala 19,14-day grazing,2013,9268,32.04574881312041,0.0,0.0
18,Bala 20,14-day grazing,2013,8782,18.230471418811206,0.0,0.04554771122751082
19,Bala 21,14-day grazing,2013,7124,14.149354295339696,0.0,0.0
20,Bala 22,14-day grazing,2013,3657,0.027344818156959255,0.027344818156959255,0.0
21,Bala 23,14-day grazing,2013,16923,4.597293624061927,0.011818235537434262,0.011818235537434262
22,Bala 24,14-day grazing,2013,3945,35.69074778200253,0.0,0.0
23,Bala 25,14-day grazing,2013,6332,21.904611497157298,0.0,0.0
24,Bala 7/10,14-day grazing,2013,2780,19.676258992805757,0.03597122302158273,0.0
25,Bala 8/11,14-day grazing,2013,17293,13.866882553634419,0.0,0.3643092580813046
26,Bala 14/16,14-day grazing,2013,6667,2.5948702564871757,4.4997750112494375,0.0
27,Mara 1,14-day grazing,2013,3840,2.1354166666666665,0.2864583333333333,0.0
28,Mara 2,14-day grazing,2013,5791,1.6404766016232082,3.211880504230703,0.5180452426178552
29,Mara 3,14-day grazing,2013,4567,20.713816509743815,0.02189621195533173,0.0
30,Mara 10,14-day grazing,2013,6203,27.90585200709334,0.0,0.11284862163469288
31,Mara 13,14-day grazing,2013,2792,11.532951289398282,0.0,0.07163323782234957
32,Mara 12,14-day grazing,2013,5206,8.643872454859777,2.4202842873607375,0.0
33,Mara 14,14-day grazing,2013,11179,16.817246623132657,0.1431255031755971,0.0
34,Mara 5,14-day grazing,2013,3532,4.530011325028313,2.5764439411098525,0.0
35,Mara 9,14-day grazing,2013,3435,20.116448326055313,0.11644832605531297,0.0
36,Mara 6,14-day grazing,2013,7668,4.577464788732395,0.0782472613458529,0.0
37,Mara 7,14-day grazing,2013,10357,9.800135174278266,0.34759100125518977,0.0
38,Mara 8,14-day grazing,2013,2623,37.09492947007244,0.0,0.30499428135722456
39,Mara 11,14-day grazing,2013,10552,2.5113722517058377,0.0,0.45489006823351025
40,Mara 15,14-day grazing,2013,11525,12.38177874186551,0.0,0.0
41,Mara 16,14-day grazing,2013,8095,0.7782581840642372,0.753551575046325,0.0
42,Mara 17,14-day grazing,2013,3242,40.65391733497841,0.0,0.0
43,Mara 18,14-day grazing,2013,2487,24.44712505026136,0.0,0.0
44,Mara 19,14-day grazing,2013,3335,4.377811094452774,0.0,0.0
45,Mara 21,14-day grazing,2013,9472,24.86275337837838,0.04222972972972973,0.0
46,Mara 20,14-day grazing,2013,1667,47.69046190761848,0.0,0.0
47,Mara 22,14-day grazing,2013,4441,52.01531186669669,0.0,0.0
48,Mara 4,14-day grazing,2013,2355,2.37791932059448,0.21231422505307856,0.21231422505307856
49,Mara 5a,14-day grazing,2013,2057,7.243558580456977,1.118133203694701,0.0
50,Mara 22a,14-day grazing,2013,1103,0.543970988213962,0.0,0.1813236627379873
51,Dinan 3,14-day grazing,2013,8661,25.274217757764696,0.0,6.88142246853712
52,Dinan 2,14-day grazing,2013,14133,6.0850491756881055,0.7641689662492039,1.0967239793391352
53,Dinan 6,14-day grazing,2013,6216,13.207850707850707,0.14478764478764478,1.0617760617760617
54,Dinan 7,14-day grazing,2013,7931,14.19745303240449,0.8195687807338293,3.0387088639515825
55,Dinan 8,14-day grazing,2013,30121,29.567411440523223,0.04315925766076824,5.298628863583547
56,Dinan 9,14-day grazing,2013,20579,18.59662763010836,1.8465425919626803,1.885417172846105
57,Dinan 10,14-day grazing,2013,11232,13.630698005698004,0.02670940170940171,11.4761396011396
58,Dinan 13,14-day grazing,2013,14473,45.767981759137705,0.055275340288813646,3.675810129206108
59,Dinan 12,14-day grazing,2013,24911,14.166432499698928,0.00802858175103368,0.44157199630685234
60,Dinan 14,14-day grazing,2013,5965,47.20871751886001,0.0,0.7041072925398156
61,Dinan 11,14-day grazing,2013,10130,13.13919052319842,0.0,0.562685093780849
62,Dinan 1,14-day grazing,2013,13121,37.13893758097706,0.9679140309427635,2.5455376876762443
63,Dinan 4,14-day grazing,2013,9735,35.17205957883924,0.0,9.758602978941962
64,Dinan 5,14-day grazing,2013,7249,10.442819699268863,0.0,0.6207752793488757
1,Bala 26ca,No grazing,2014,22947,30.226173355994245,1.9348934501241994,0.97180459319301
2,Bala 27ca,No grazing,2014,16608,59.21844894026975,0.012042389210019268,2.4385838150289016
3,Bala 28ca,No grazing,2014,17431,5.335322127244564,3.8437266938213526,0.522058401698124
4,Bala 29ca,No grazing,2014,26953,16.628946684970135,5.008718881015101,5.698809037954958
5,Bala 1,14-day grazing,2014,10166,54.337989376352546,0.0,1.5246901436159748
6,Bala 2,14-day grazing,2014,19760,77.00404858299595,0.0,1.9787449392712553
7,Bala 3,14-day grazing,2014,14748,62.374559262272854,0.0,9.513154326010307
8,Bala 4,14-day grazing,2014,3878,42.7282104177411,0.0257864878803507,0.6704486848891181
9,Bala 5,14-day grazing,2014,16940,65.6021251475797,0.01770956316410862,2.963400236127509
10,Bala 6,14-day grazing,2014,22526,66.7983663322383,0.05327177483796502,0.7147296457426973
11,Bala 9,14-day grazing,2014,2843,53.57017235314808,0.0,8.371438621174814
12,Bala 12,14-day grazing,2014,13916,8.594423684966944,0.17964932451853982,0.4958321356711699
13,Bala 13,14-day grazing,2014,8869,71.40602097192468,0.0,1.2628255722178374
14,Bala 15,14-day grazing,2014,5898,12.207527975584945,0.0339097999321804,8.918277382163446
15,Bala 17,14-day grazing,2014,8315,97.17378232110644,0.0,0.0
16,Bala 18,14-day grazing,2014,8406,55.72210325957649,0.27361408517725433,0.0
17,Bala 19,14-day grazing,2014,9268,95.9214501510574,0.0,0.032369443245576175
18,Bala 20,14-day grazing,2014,8782,52.96060122978821,0.011386927806877705,0.9678888635846049
19,Bala 21,14-day grazing,2014,7124,90.30039303761932,0.09825940482874788,0.0
20,Bala 22,14-day grazing,2014,3657,1.0117582718074924,2.3243095433415366,0.0
21,Bala 23,14-day grazing,2014,16923,18.59599361815281,0.04727294214973705,0.07090941322460556
22,Bala 24,14-day grazing,2014,3945,29.911280101394173,0.0,0.0
23,Bala 25,14-day grazing,2014,6332,48.531269740998106,0.0,0.047378395451674035
24,Bala 7/10,14-day grazing,2014,2780,40.97122302158273,0.0,0.1079136690647482
25,Bala 8/11,14-day grazing,2014,17293,88.22645000867404,0.0,1.07557971433528
26,Bala 14/16,14-day grazing,2014,6667,8.8045597720114,3.7798110094495274,0.20998950052497373
27,Mara 1,14-day grazing,2014,3840,1.328125,0.2864583333333333,0.026041666666666668
28,Mara 2,14-day grazing,2014,5791,1.9513037471939216,2.607494387843205,0.7252633396649973
29,Mara 3,14-day grazing,2014,4567,58.48478213269105,0.0,0.02189621195533173
30,Mara 10,14-day grazing,2014,6203,23.69821054328551,0.0,0.24181847493148476
31,Mara 13,14-day grazing,2014,2792,15.974212034383955,0.0,0.07163323782234957
32,Mara 12,14-day grazing,2014,5206,10.50710718401844,1.7479830964271994,0.01920860545524395
33,Mara 14,14-day grazing,2014,11179,47.786027372752486,1.5385991591376689,0.0
34,Mara 5,14-day grazing,2014,3532,7.5594563986409975,3.4258210645526614,0.0
35,Mara 9,14-day grazing,2014,3435,47.8311499272198,0.1455604075691412,0.0
36,Mara 6,14-day grazing,2014,7668,81.78142931664058,0.02608242044861763,0.0
37,Mara 7,14-day grazing,2014,10357,77.22313411219464,0.15448488944675098,0.0
38,Mara 8,14-day grazing,2014,2623,48.989706443004195,0.0,0.9531071292413268
39,Mara 11,14-day grazing,2014,10552,7.031842304776345,0.0,1.2983320697498104
40,Mara 15,14-day grazing,2014,11525,66.36008676789588,0.0,0.0
41,Mara 16,14-day grazing,2014,8095,5.484867201976529,0.753551575046325,0.0
42,Mara 17,14-day grazing,2014,3242,50.09253547193091,0.0,0.0
43,Mara 18,14-day grazing,2014,2487,61.80136710896663,0.0,0.0
44,Mara 19,14-day grazing,2014,3335,28.93553223388306,1.3793103448275863,0.0
45,Mara 21,14-day grazing,2014,9472,45.92483108108108,0.021114864864864864,0.021114864864864864
46,Mara 20,14-day grazing,2014,1667,95.08098380323935,0.0,0.0
47,Mara 22,14-day grazing,2014,4441,65.36816032425129,0.0,0.20265705922089622
48,Mara 4,14-day grazing,2014,2355,2.208067940552017,0.0,0.46709129511677283
49,Mara 5a,14-day grazing,2014,2057,5.7365094798249885,2.0904229460379193,0.04861448711716091
50,Mara 22a,14-day grazing,2014,1103,1.4505893019038985,6.527651858567543,0.0
51,Dinan 3,14-day grazing,2014,8661,33.64507562637109,0.0,10.94561828888119
52,Dinan 2,14-day grazing,2014,14133,20.32123399136772,0.750017689096441,2.391565838816953
53,Dinan 6,14-day grazing,2014,6216,57.72200772200772,0.0,2.7187902187902186
54,Dinan 7,14-day grazing,2014,7931,17.29920564872021,0.025217500945656286,3.3917538771907703
55,Dinan 8,14-day grazing,2014,30121,24.365060920952157,0.01659971448491086,9.873510175624979
56,Dinan 9,14-day grazing,2014,20579,13.460323630885854,1.1127848777880363,4.689246319063123
57,Dinan 10,14-day grazing,2014,11232,10.986467236467236,10.35434472934473,14.76139601139601
58,Dinan 13,14-day grazing,2014,14473,43.68824708077109,8.146203275063913,6.391211220894079
59,Dinan 12,14-day grazing,2014,24911,19.03978162257637,0.0,1.1641443538998837
60,Dinan 14,14-day grazing,2014,5965,35.825649622799666,0.0,0.8549874266554904
61,Dinan 11,14-day grazing,2014,10130,17.808489634748273,0.0,1.2240868706811452
62,Dinan 1,14-day grazing,2014,13121,35.88903284810609,0.7392729212712446,3.2543251276579532
63,Dinan 4,14-day grazing,2014,9735,42.208525937339495,0.43143297380585516,15.921931176168464
64,Dinan 5,14-day grazing,2014,7249,29.94895847703131,0.0,1.751965788384605
1,Bala 26ca,No grazing,2015,22947,23.005185863075784,0.06101015383274502,0.7974898679565957
2,Bala 27ca,No grazing,2015,16608,29.034200385356456,0.0,12.6866570327553
3,Bala 28ca,No grazing,2015,17431,2.3004991107796453,2.409500315529803,1.10148585852791
4,Bala 29ca,No grazing,2015,26953,36.196341780135796,0.09275405335213148,6.592958112269506
5,Bala 1,14-day grazing,2015,10166,35.0383631713555,0.0,0.5803659256344679
6,Bala 2,14-day grazing,2015,19760,72.18623481781377,0.0,0.3289473684210526
7,Bala 3,14-day grazing,2015,14748,50.284784377542714,0.0,6.461893138052617
8,Bala 4,14-day grazing,2015,3878,17.122227952552862,0.0,0.4899432697266632
9,Bala 5,14-day grazing,2015,16940,54.29161747343566,0.011806375442739079,1.5820543093270367
