patch_id,community_short,n_cells,n_years,slope,r,ac1_resid,fitted,why_not,estimator,metric,cluster,land_use_label
U0214,inland,3218,35,0.08215251773902067,0.403036229904254,0.28974701234382055,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0221,inland,2298,35,0.15250499935584064,0.4496869068445203,0.44039217780561285,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0229,inland,36,35,0.05172036159522588,0.3221423973334185,0.3715114590639414,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0231,inland,234,35,0.05038395077511043,0.28462812408468746,0.44179847070100864,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0235,inland,2419,35,0.12174944101958933,0.554636616664528,0.30880652388356084,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0238,inland,5007,35,0.2905995826546803,0.5333297054471259,0.35316025074278,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0243,inland,294,35,0.06195802512852433,0.2861124082042932,0.3382494110868222,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0245,inland,202,35,0.14211263434389873,0.3819490545229541,0.49953885819001603,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0246,inland,1189,35,0.11129390728404309,0.45606242838022487,0.402641796600765,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0248,inland,2090,35,0.08810736091245225,0.311677006521011,0.4309107009406148,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0249,inland,501,35,0.13382042711087955,0.28175822732559147,0.5180160806457274,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0250,inland,206,35,0.1359044148627668,0.4642799687448504,0.4871576764073314,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0270,inland,269,35,0.1490654625733089,0.4163369050690903,0.33665969833059456,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0278,inland,533,35,0.31074809062361103,0.3027472903701371,0.6937642520615767,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0279,inland,75,35,0.01554237886466978,0.06789848807759068,0.574738581297986,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0280,inland,208,35,0.09742922374089774,0.3814236175468194,0.3747774482898967,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0286,inland,31,35,0.10734502201402463,0.3280384726977834,0.5361579360809254,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0293,inland,309,35,0.1042705471841009,0.4387782008205092,0.357227879768032,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0326,inland,293,35,0.0928386078695379,0.5142064167475517,0.3506683965580435,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0335,inland,1068,35,0.2886566266453862,0.54769387757097,0.27733578146057697,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0347,inland,2979,35,0.09623904507630057,0.4170048320645345,0.24894953769808867,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0380,inland,1379,35,0.1934422617857946,0.3875714040521711,0.5497972082564343,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0393,inland,56,35,0.06779736479602733,0.16382304698417846,0.5393894121766767,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0403,inland,34,35,0.06891078625302315,0.4042487272792243,0.28578698346257614,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0419,inland,17727,35,0.5454759684794107,0.46642913608168785,0.5280856027597648,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0440,inland,113,35,0.16329157162748606,0.5023905638144813,0.4523601637785541,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0444,inland,98,35,0.01724138167566473,0.10106901118292047,0.37727207475838376,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0445,inland,131,35,0.07332518373241655,0.4354903471175691,0.4084495602862396,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0451,inland,344,35,0.1276692308240282,0.5159667484899843,0.5731605515273214,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0464,inland,678,35,0.16410133810743444,0.44990413227150183,0.36845421015909174,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0467,inland,25833,35,0.17643999422105427,0.29162808435570114,0.3500244888136492,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0470,inland,6328,35,0.22980180053423807,0.5269868646574699,0.4421460204506108,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0486,inland,31750,35,0.4181974331721716,0.47541050931213374,0.4417313050172393,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0488,inland,548,35,0.47633676125081537,0.4012396116841402,0.48739807304226207,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0492,inland,906,35,0.2167271461714295,0.5588204458643717,0.3363337018465352,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0501,riverine,2904,35,0.23407643426523994,0.40436297665962184,0.2951739589208381,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0506,riverine,77,35,0.19826838621159706,0.2655900299996244,0.7983218734525331,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0508,riverine,3568,35,0.1560073268630674,0.47508386639356326,0.35384531190677443,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0512,riverine,421,35,0.12650573878336474,0.24072872231557116,0.2691998847027963,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0513,riverine,162,35,0.1304944306710856,0.357023935853305,0.34614855213351065,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0521,riverine,663,35,0.13520473782644188,0.32534150247336696,0.3084359427313947,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0525,riverine,45,35,0.20158501036203472,0.3565809080922119,0.170503404996803,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0526,riverine,571,35,0.1670922087744193,0.18513479953826803,0.42680447580710373,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0528,riverine,53,35,0.09645978435794908,0.3068637890610176,0.3771592545754152,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0533,riverine,120,35,0.08444166254858392,0.11256247565285704,0.2635529113902837,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0534,riverine,41,35,0.12095159412792164,0.5973388766173662,0.22323898781900922,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0535,riverine,287,35,0.41703989011138415,0.2866979729295139,0.5647074631515494,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0538,riverine,18361,35,1.3031807366578947,0.3544632757173444,0.5977352865869988,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0544,riverine,19916,35,0.4506160958628894,0.4725985155511838,0.4695431602556925,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0547,riverine,294,35,0.06973335769151223,0.22947080648844045,0.41322418216023876,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0554,riverine,130,35,0.09964414796480338,0.2919427472125039,0.5672968669433759,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0562,riverine,64,34,0.06896266125546276,0.5306729472121648,0.49008398246700613,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0563,riverine,503,35,0.10866432988218963,0.36857198678789266,0.5064420239952682,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0571,riverine,1851,35,0.1284153790270939,0.4053401105694499,0.46067176054932907,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0573,riverine,84,34,0.08666046577840156,0.5159387219155683,0.48025536258084567,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0574,riverine,53,35,0.1780605904842397,0.19247033946773595,0.4686674664920767,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0593,riverine,104,35,0.05321499057768603,0.1790111129743183,0.549018020249734,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0608,riverine,54,35,0.08065048918606316,0.25788625812260835,0.39872246934421945,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
U0610,riverine,123,35,0.19340712998460435,0.3915456717669027,0.3610762673091581,1,,"within (patch fixed effects), per patch",veg_p05_spatial,n/a - per-patch fit,unzoned standard-grazing country
