label,scope,estimator,metric,y_variable,x_variable,weighting,cluster,cluster_note,n_obs,n_units,slope,r,resid_sd,boot2000_p2_5,boot2000_p50,boot2000_p97_5,boot10000_p2_5,boot10000_p50,boot10000_p97_5,land_use_label,unit_construction,period_label,support_level,boot_seed
"UNZONED v3 within, pooled",pooled,"within (patch fixed effects), demeaned, pixel-weighted",veg_p05_spatial,veg_p05_spatial,inund_pct,weighted by n_cells,patch_id,"no paddock exists on this ground, so the cluster is the PATCH. The real-part within estimate clusters on zone_fid; these are different choices and the intervals are not interchangeable.",3253,93,0.21057259836260903,0.3306734633837511,13.815765645986827,0.16176129923339014,0.20897509313050563,0.2621277895407159,0.161116655888399,0.20924797236402198,0.2656648044548678,unzoned standard-grazing country,"8-connected component within one community, outside every management zone",1988-2022 (35 water years),pixel,20260810
"UNZONED v3 within, aeolian",aeolian,"within (patch fixed effects), demeaned, pixel-weighted",veg_p05_spatial,veg_p05_spatial,inund_pct,weighted by n_cells,patch_id,"no paddock exists on this ground, so the cluster is the PATCH. The real-part within estimate clusters on zone_fid; these are different choices and the intervals are not interchangeable.",525,15,0.14834364398739963,0.18631100288909377,14.468197923128645,0.09775701695180081,0.14819376711022858,0.18070455273462402,,,,unzoned standard-grazing country,"8-connected component within one community, outside every management zone",1988-2022 (35 water years),pixel,20260810
"UNZONED v3 within, riverine",riverine,"within (patch fixed effects), demeaned, pixel-weighted",veg_p05_spatial,veg_p05_spatial,inund_pct,weighted by n_cells,patch_id,"no paddock exists on this ground, so the cluster is the PATCH. The real-part within estimate clusters on zone_fid; these are different choices and the intervals are not interchangeable.",838,24,0.29086924421645716,0.2831211130587809,16.32220437649691,0.1383683406269218,0.2915037958893895,0.44779222377828637,,,,unzoned standard-grazing country,"8-connected component within one community, outside every management zone",1988-2022 (35 water years),pixel,20260810
"UNZONED v3 within, inland",inland,"within (patch fixed effects), demeaned, pixel-weighted",veg_p05_spatial,veg_p05_spatial,inund_pct,weighted by n_cells,patch_id,"no paddock exists on this ground, so the cluster is the PATCH. The real-part within estimate clusters on zone_fid; these are different choices and the intervals are not interchangeable.",1890,54,0.20047216862775047,0.3832403055058103,12.579856742055748,0.14897188943129355,0.19753570363573505,0.25774018972664337,,,,unzoned standard-grazing country,"8-connected component within one community, outside every management zone",1988-2022 (35 water years),pixel,20260810
